timestamp[ns],x,y,z,qw,qx,qy,qz
1772084314555943627,0.0217701,0.0298148,-0.067839,0.999999,0.000315143,0.00147885,-0.000771497
1772084319730977627,0.361595,0.0133773,-0.053941,0.999991,0.00111248,0.000466954,-0.00417124
1772084320766012627,0.666807,-0.129765,-0.039855,0.999941,-5.5884e-06,0.00395751,-0.0100896
1772084328445058627,0.990995,-0.177641,-0.0103578,0.998729,-0.0011456,0.0060101,0.0500352
1772084331049335627,1.18126,0.118454,0.0273319,0.968783,-0.00357693,0.00455474,0.247841
1772084332818842627,1.21233,0.48881,0.0579979,0.874008,-0.0162063,-0.00194279,0.485638
1772084334621737627,1.07185,0.785918,0.0816321,0.754913,-0.026384,-0.00506339,0.655275
1772084348444119627,1.42079,1.00527,-0.0464213,0.900959,-0.017154,0.00246444,0.433557
1772084349011720627,-2.22045e-16,0,0,1,-1.30104e-18,-2.1684e-18,-8.32532e-17
1772084357993053627,-0.424951,0.00631523,0.0638188,0.999786,-0.00173464,-8.76889e-05,-0.020612
1772084364103293627,-0.867753,-0.105038,0.0497505,0.999877,0.000476232,-0.000783193,-0.0156788
1772084377591342627,-1.19913,-0.12439,0.0426377,0.996237,-0.00639195,0.00423456,0.086329
1772084379661358627,-0.889241,-0.269879,0.0707233,0.994456,-0.00654913,-0.000587698,0.104944
1772084382333299627,-0.550872,-0.306144,0.0947482,0.995123,-0.00525427,-0.000824037,0.0985032
1772084385203854627,-0.885587,-0.339051,0.0829511,0.975871,-0.0110425,-3.99493e-05,0.218067
1772084389276955627,-0.00277128,-0.0135233,-0.000711616,0.998499,0.00356524,0.000499025,-0.0546482
1772084406638514627,-0.147557,0.281382,-0.00944161,0.987988,0.010532,0.00369725,-0.154124
1772084410377878627,0.0172462,-0.020789,-0.00703408,0.971725,0.0114691,0.00204785,-0.23583
1772084411746774627,0.147272,-0.35338,-0.00184602,0.970101,0.0108891,0.00240314,-0.242445
1772084412815147627,0.381652,-0.603516,0.0122034,0.970285,0.0116512,0.00398442,-0.24165
1772084414918669627,0.659739,-0.829019,0.0304842,0.969951,0.0110959,0.0030286,-0.24303
1772084437722218627,0.516257,-1.08915,-0.105709,0.937766,0.015044,0.00297273,-0.346928
1772084446102758627,0.2638,-0.859708,-0.143845,0.938317,0.0163201,0.00675602,-0.345326
1772084448205934627,0.0273574,-1.09483,-0.17667,0.839,0.0255504,0.00517128,-0.543507
1772084457020147627,0.153723,-1.39827,-0.133972,0.837974,0.0246976,0.00150721,-0.545148
1772084461327071627,-0.000389294,-0.0018111,-6.59381e-05,0.999976,0.000322891,0.000121452,-0.0069618
1772084469440262627,-0.0209346,-0.334143,0.0780833,0.915975,0.0192454,0.00429023,-0.40075
1772084470408550627,0.180631,-0.590941,0.122822,0.913953,0.0188951,0.0077858,-0.405306
1772084476551835627,-0.140345,-0.293802,0.0779291,0.914638,0.018049,0.004967,-0.403841
1772084526299111627,-0.000484857,0.000526686,0.000399455,1,-4.72968e-05,1.02761e-05,-2.42386e-05
